null,0
(34.0832, -118.4555),1
(34.0833, -118.1769),25
(34.0833, -118.1906),1
(34.0833, -118.1907),78
(34.0833, -118.2538),25
(34.0833, -118.2644),1
(34.0833, -118.2723),31
(34.0833, -118.2814),22
(34.0833, -118.4403),1
(34.0833, -118.4524),6
(34.0833, -118.483),1
(34.0833, -118.4844),2
(34.0834, -118.1769),30
(34.0834, -118.1775),1
(34.0834, -118.178),3
(34.0834, -118.2147),7
(34.0834, -118.2216),3
(34.0834, -118.2282),4
(34.0834, -118.2453),2
(34.0834, -118.2544),23
(34.0834, -118.2579),3
(34.0834, -118.2628),15
(34.0834, -118.3722),1
(34.0834, -118.3732),1
(34.0834, -118.4301),1
(34.0834, -118.4307),1
(34.0834, -118.5034),6
(34.0835, -118.191),2
(34.0835, -118.2004),17
(34.0835, -118.2052),22
(34.0835, -118.223),2
(34.0835, -118.2578),5
(34.0835, -118.26),120
(34.0835, -118.2799),20
(34.0835, -118.282),65
(34.0835, -118.2836),2
(34.0835, -118.2838),86
(34.0835, -118.3057),3
(34.0835, -118.3069),72
(34.0835, -118.3078),3
(34.0835, -118.308),9
(34.0835, -118.3091),121
(34.0835, -118.3102),15
(34.0835, -118.3103),34
(34.0835, -118.3112),10
(34.0835, -118.3114),106
(34.0835, -118.3124),78
(34.0835, -118.3125),10
(34.0835, -118.3135),85
(34.0835, -118.3146),49
(34.0835, -118.3157),94
(34.0835, -118.3179),8
(34.0835, -118.3188),5
(34.0835, -118.3196),63
(34.0835, -118.3207),3
(34.0835, -118.3217),4
(34.0835, -118.3222),4
(34.0835, -118.3223),12
(34.0835, -118.3226),12
(34.0835, -118.3227),6
(34.0835, -118.3237),9
(34.0835, -118.3242),69
(34.0835, -118.3244),30
(34.0835, -118.3249),5
(34.0835, -118.326),2
(34.0835, -118.3266),337
(34.0835, -118.3277),19
(34.0835, -118.3288),72
(34.0835, -118.3299),18
(34.0835, -118.331),57
(34.0835, -118.3321),62
(34.0835, -118.3331),25
(34.0835, -118.3342),22
(34.0835, -118.3352),25
(34.0835, -118.3363),34
(34.0835, -118.3374),27
(34.0835, -118.3386),96
(34.0835, -118.3397),46
(34.0835, -118.3406),43
(34.0835, -118.3416),72
(34.0835, -118.3428),81
(34.0835, -118.3441),209
(34.0835, -118.3452),44
(34.0835, -118.3462),207
(34.0835, -118.3474),29
(34.0835, -118.3734),176
(34.0835, -118.4491),5
(34.0836, -118.1644),18
(34.0836, -118.1717),31
(34.0836, -118.178),46
(34.0836, -118.1791),18
(34.0836, -118.18),33
(34.0836, -118.1897),1
(34.0836, -118.1931),8
(34.0836, -118.2156),13
(34.0836, -118.2557),17
(34.0836, -118.2627),16
(34.0836, -118.2642),2
(34.0836, -118.2651),1
(34.0836, -118.2771),18
(34.0836, -118.2845),29
(34.0836, -118.2856),2
(34.0836, -118.2868),124
(34.0836, -118.288),6
(34.0836, -118.2892),88
(34.0836, -118.2905),11
(34.0836, -118.2917),234
(34.0836, -118.2928),21
(34.0836, -118.2929),4
(34.0836, -118.294),63
(34.0836, -118.2941),7
(34.0836, -118.295),64
(34.0836, -118.2953),27
(34.0836, -118.296),21
(34.0836, -118.2965),33
(34.0836, -118.2967),11
(34.0836, -118.297),21
(34.0836, -118.2978),67
(34.0836, -118.2985),2
(34.0836, -118.2988),1
(34.0836, -118.2992),9
(34.0836, -118.3005),140
(34.0836, -118.3011),1
(34.0836, -118.3016),42
(34.0836, -118.3017),10
(34.0836, -118.3026),44
(34.0836, -118.3028),52
(34.0836, -118.3034),7
(34.0836, -118.3039),29
(34.0836, -118.3046),7
(34.0836, -118.3049),43
(34.0836, -118.3051),59
(34.0836, -118.3486),172
(34.0836, -118.3492),1
(34.0836, -118.3498),52
(34.0836, -118.3511),174
(34.0836, -118.3522),34
(34.0836, -118.3732),45
(34.0836, -118.3753),35
(34.0836, -118.3765),14
(34.0836, -118.4386),2
(34.0836, -118.4719),13
(34.0837, -118.1614),11
(34.0837, -118.1624),21
(34.0837, -118.1634),12
(34.0837, -118.1883),71
(34.0837, -118.1967),15
(34.0837, -118.2683),12
(34.0837, -118.2842),1
(34.0837, -118.2989),1
(34.0837, -118.3522),7
(34.0837, -118.3532),129
(34.0837, -118.3543),35
(34.0837, -118.3553),165
(34.0837, -118.3564),43
(34.0837, -118.3574),135
(34.0837, -118.3669),2
(34.0837, -118.368),88
(34.0837, -118.3691),28
(34.0837, -118.3703),130
(34.0837, -118.3712),2
(34.0837, -118.3717),163
(34.0837, -118.3722),3
(34.0837, -118.3742),27
(34.0837, -118.5085),4
(34.0838, -118.1703),9
(34.0838, -118.1742),19
(34.0838, -118.181),12
(34.0838, -118.1908),2
(34.0838, -118.1915),1
(34.0838, -118.2021),6
(34.0838, -118.2166),3
(34.0838, -118.2167),18
(34.0838, -118.2177),44
(34.0838, -118.2336),1
(34.0838, -118.2845),29
(34.0838, -118.3388),37
(34.0838, -118.3584),42
(34.0838, -118.3595),303
(34.0838, -118.3605),17
(34.0838, -118.3614),238
(34.0838, -118.3627),58
(34.0838, -118.3637),102
(34.0838, -118.3638),11
(34.0838, -118.3648),34
(34.0838, -118.3659),121
(34.0838, -118.3669),18
(34.0838, -118.367),2
(34.0839, -118.1684),47
(34.0839, -118.1693),1
(34.0839, -118.1731),43
(34.0839, -118.182),8
(34.0839, -118.1988),13
(34.0839, -118.2126),3
(34.0839, -118.2224),200
(34.0839, -118.2658),2
(34.0839, -118.2741),88
(34.0839, -118.2781),8
(34.0839, -118.2803),8
(34.0839, -118.2836),7
(34.0839, -118.428),2
(34.084, -118.167),1
(34.084, -118.1854),2
(34.084, -118.1905),1
(34.084, -118.1948),35
(34.084, -118.2135),37
(34.084, -118.261),4
(34.084, -118.2611),66
(34.084, -118.2694),28
(34.084, -118.3547),54
(34.084, -118.4367),5
(34.0841, -118.1644),12
(34.0841, -118.1655),6
(34.0841, -118.182),1
(34.0841, -118.1829),28
(34.0841, -118.1847),26
(34.0841, -118.1848),132
(34.0841, -118.1854),1
(34.0841, -118.1869),7
(34.0841, -118.2003),7
(34.0841, -118.2096),8
(34.0841, -118.2237),3
(34.0841, -118.2625),1
(34.0841, -118.2638),10
(34.0841, -118.2978),15
(34.0841, -118.4334),1
(34.0842, -117.9179),1
(34.0842, -118.1903),1
(34.0842, -118.2116),2
(34.0842, -118.2287),2
(34.0842, -118.2527),3
(34.0842, -118.2532),4
(34.0842, -118.2539),52
(34.0842, -118.2594),2
(34.0842, -118.3765),94
(34.0842, -118.4349),5
(34.0842, -118.4719),9
(34.0843, -118.1754),9
(34.0843, -118.178),33
(34.0843, -118.1923),15
(34.0843, -118.199),1
(34.0843, -118.252),15
(34.0843, -118.2743),24
(34.0843, -118.2984),1
(34.0843, -118.3765),34
(34.0844, -118.2518),21
(34.0844, -118.2544),1
(34.0844, -118.2567),8
(34.0844, -118.2669),6
(34.0844, -118.2703),31
(34.0844, -118.2978),2
(34.0844, -118.299),41
(34.0844, -118.3167),1
(34.0844, -118.3222),62
(34.0844, -118.3233),1
(34.0844, -118.3244),74
(34.0844, -118.3266),9
(34.0844, -118.4339),1
(34.0845, -118.2002),44
(34.0845, -118.2231),44
(34.0845, -118.2622),59
(34.0845, -118.2726),28
(34.0845, -118.2765),6
(34.0845, -118.3078),65
(34.0845, -118.3091),11
(34.0845, -118.4523),7
(34.0846, -118.1657),1
(34.0846, -118.1748),1
(34.0846, -118.1859),4
(34.0846, -118.2549),58
(34.0846, -118.2572),1
(34.0846, -118.265),19
(34.0846, -118.2845),66
(34.0846, -118.2868),125
(34.0846, -118.2892),106
(34.0846, -118.3051),82
(34.0846, -118.306),2
(34.0846, -118.3464),121
(34.0846, -118.4344),2
(34.0846, -118.4476),2
(34.0846, -118.462),8
(34.0846, -118.4851),2
(34.0847, -118.2536),1
(34.0847, -118.2677),3
(34.0847, -118.2745),20
(34.0847, -118.2762),42
(34.0847, -118.2917),11
(34.0847, -118.3686),115
(34.0847, -118.4735),4
(34.0848, -118.17),49
(34.0848, -118.1742),19
(34.0848, -118.1757),1
(34.0848, -118.1863),1
(34.0848, -118.1898),1
(34.0848, -118.2212),126
(34.0848, -118.2712),72
(34.0848, -118.2731),31
(34.0848, -118.2745),24
(34.0848, -118.2797),18
(34.0848, -118.3091),43
(34.0848, -118.4622),3
(34.0848, -118.4643),21
(34.0848, -118.4797),4
(34.0849, -118.1688),31
(34.0849, -118.1694),4
(34.0849, -118.2662),13
(34.0849, -118.2688),1
(34.0849, -118.3005),54
(34.0849, -118.3028),22
(34.0849, -118.3091),94
(34.0849, -118.3103),3
(34.0849, -118.3114),54
(34.0849, -118.3115),2
(34.0849, -118.3125),5
(34.0849, -118.3765),5
(34.0849, -118.4718),9
(34.085, -118.1614),48
(34.085, -118.1624),12
(34.085, -118.1634),8
(34.085, -118.1676),12
(34.085, -118.187),25
(34.085, -118.1958),8
(34.085, -118.1962),13
(34.085, -118.2486),6
(34.085, -118.2516),5
(34.085, -118.2556),43
(34.085, -118.2633),40
(34.085, -118.273),5
(34.085, -118.3016),4
(34.085, -118.3022),18
(34.085, -118.3028),2
(34.085, -118.303),1
(34.085, -118.3039),47
(34.085, -118.4758),26
(34.0851, -118.1644),8
(34.0851, -118.1659),1
(34.0851, -118.1722),14
(34.0851, -118.1902),9
(34.0851, -118.1917),33
(34.0851, -118.1956),14
(34.0851, -118.2207),4
(34.0851, -118.2292),9
(34.0851, -118.2668),1
(34.0851, -118.2737),30
(34.0851, -118.2747),4
(34.0851, -118.2756),24
(34.0851, -118.2881),63
(34.0851, -118.4403),1
(34.0851, -118.4758),16
(34.0851, -118.5034),7
(34.0852, -118.1728),10
(34.0852, -118.1739),75
(34.0852, -118.1759),18
(34.0852, -118.1781),41
(34.0852, -118.1802),20
(34.0852, -118.1809),6
(34.0852, -118.1864),3
(34.0852, -118.2289),6
(34.0852, -118.2495),10
(34.0852, -118.2637),9
(34.0852, -118.2841),23
(34.0852, -118.306),5
(34.0852, -118.3065),1
(34.0852, -118.4352),5
(34.0852, -118.4504),3
(34.0853, -118.186),260
(34.0853, -118.2114),30
(34.0853, -118.219),28
(34.0853, -118.224),21
(34.0853, -118.2588),10
(34.0853, -118.2673),22
(34.0853, -118.2697),3
(34.0853, -118.2804),50
(34.0853, -118.299),183
(34.0853, -118.3222),43
(34.0853, -118.3244),70
(34.0853, -118.3266),72
(34.0853, -118.3277),55
(34.0853, -118.3288),32
(34.0853, -118.3299),26
(34.0853, -118.331),81
(34.0853, -118.3321),55
(34.0853, -118.3331),16
(34.0853, -118.3332),1
(34.0853, -118.3342),36
(34.0853, -118.3352),31
(34.0853, -118.3363),73
(34.0853, -118.3374),43
(34.0853, -118.3386),41
(34.0853, -118.3397),31
(34.0853, -118.3406),32
(34.0853, -118.3416),41
(34.0853, -118.3428),42
(34.0853, -118.3441),165
(34.0853, -118.3451),5
(34.0853, -118.3452),53
(34.0853, -118.3462),87
(34.0853, -118.3474),51
(34.0853, -118.3487),89
(34.0853, -118.3498),58
(34.0853, -118.3511),62
(34.0853, -118.3753),52
(34.0853, -118.3765),62
(34.0853, -118.408),1
(34.0853, -118.4327),2
(34.0853, -118.4375),2
(34.0853, -118.4725),17
(34.0854, -118.1829),20
(34.0854, -118.1853),8
(34.0854, -118.2203),8
(34.0854, -118.2399),5
(34.0854, -118.2547),15
(34.0854, -118.2617),1
(34.0854, -118.2748),109
(34.0854, -118.2772),29
(34.0854, -118.2825),33
(34.0854, -118.3146),33
(34.0854, -118.3157),75
(34.0854, -118.3522),33
(34.0854, -118.3532),25
(34.0854, -118.3543),18
(34.0854, -118.3553),24
(34.0854, -118.3564),19
(34.0854, -118.3574),34
(34.0854, -118.3584),29
(34.0854, -118.3595),18
(34.0854, -118.3605),27
(34.0854, -118.3614),4
(34.0854, -118.3691),25
(34.0854, -118.3703),27
(34.0854, -118.3717),5
(34.0854, -118.3732),34
(34.0854, -118.3742),55
(34.0854, -118.438),2
(34.0854, -118.4452),15
(34.0854, -118.4523),6
(34.0854, -118.5089),2
(34.0855, -118.1663),12
(34.0855, -118.1781),7
(34.0855, -118.1841),13
(34.0855, -118.2219),41
(34.0855, -118.2293),23
(34.0855, -118.23),4
(34.0855, -118.2644),33
(34.0855, -118.3078),19
(34.0855, -118.3091),14
(34.0855, -118.3135),18
(34.0855, -118.3614),2
(34.0855, -118.3627),49
(34.0855, -118.3638),84
(34.0855, -118.3648),31
(34.0855, -118.3659),25
(34.0855, -118.367),13
(34.0855, -118.368),38
(34.0855, -118.4288),3
(34.0855, -118.4744),6
(34.0856, -118.1791),6
(34.0856, -118.194),7
(34.0856, -118.2),3
(34.0856, -118.2131),29
(34.0856, -118.2599),13
(34.0856, -118.2845),42
(34.0856, -118.2868),113
(34.0856, -118.2869),5
(34.0856, -118.299),10
(34.0856, -118.3005),11
(34.0856, -118.3091),44
(34.0856, -118.3115),3
(34.0856, -118.3614),68
(34.0857, -118.1648),17
(34.0857, -118.1655),46
(34.0857, -118.1791),1
(34.0857, -118.1799),1
(34.0857, -118.1875),11
(34.0857, -118.2457),2
(34.0857, -118.2683),28
(34.0857, -118.2706),4
(34.0857, -118.2812),67
(34.0857, -118.2892),55
(34.0857, -118.2917),33
(34.0857, -118.3069),4
(34.0857, -118.4545),13
(34.0858, -118.1935),7
(34.0858, -118.2183),18
(34.0858, -118.2207),1
(34.0858, -118.2234),1
(34.0858, -118.2296),24
(34.0858, -118.236),1
(34.0858, -118.2508),7
(34.0858, -118.2559),2
(34.0858, -118.2599),116
(34.0858, -118.2741),13
(34.0858, -118.2837),45
(34.0858, -118.2917),97
(34.0858, -118.2928),3
(34.0858, -118.295),35
(34.0858, -118.296),29
(34.0858, -118.297),22
(34.0858, -118.2978),47
(34.0858, -118.2979),3
(34.0858, -118.3091),2
(34.0858, -118.3115),14
(34.0858, -118.3117),3
(34.0858, -118.3135),6
(34.0859, -118.1742),19
(34.0859, -118.1764),49
(34.0859, -118.1786),2
(34.0859, -118.1803),44
(34.0859, -118.1883),3
(34.0859, -118.1907),31
(34.0859, -118.1929),47
(34.0859, -118.1932),4
(34.0859, -118.231),9
(34.0859, -118.2444),1
(34.0859, -118.2563),13
(34.0859, -118.2628),1
(34.0859, -118.2727),22
(34.0859, -118.276),6
(34.0859, -118.427),4
(34.0859, -118.4411),1
(34.0859, -118.4853),1
(34.086, -118.1698),6
(34.086, -118.1737),26
(34.086, -118.1801),2
(34.086, -118.1841),4
(34.086, -118.2012),3
(34.086, -118.2248),113
(34.086, -118.2655),19
(34.086, -118.3091),55
(34.0861, -118.167),1
(34.0861, -118.1688),5
(34.0861, -118.1782),22
(34.0861, -118.1842),2
(34.0861, -118.2179),1
(34.0861, -118.2187),13
(34.0861, -118.2194),28
(34.0861, -118.2431),8
(34.0861, -118.2689),4
(34.0861, -118.2715),1
(34.0861, -118.2785),2
(34.0861, -118.2845),14
(34.0861, -118.303),50
(34.0861, -118.4383),1
(34.0862, -118.1713),18
(34.0862, -118.1784),58
(34.0862, -118.1875),101
(34.0862, -118.1957),3
(34.0862, -118.2102),10
(34.0862, -118.2174),67
(34.0862, -118.2209),1
(34.0862, -118.2228),16
(34.0862, -118.2257),31
(34.0862, -118.2518),37
(34.0862, -118.2583),20
(34.0862, -118.2661),4
(34.0862, -118.2767),20
(34.0862, -118.2794),6
(34.0862, -118.3016),10
(34.0862, -118.3078),103
(34.0862, -118.3091),34
(34.0862, -118.3244),41
(34.0862, -118.3266),7
(34.0862, -118.4718),28
(34.0863, -118.1614),11
(34.0863, -118.1624),26
(34.0863, -118.1634),12
(34.0863, -118.1804),4
(34.0863, -118.1824),1
(34.0863, -118.1842),4
(34.0863, -118.2129),1
(34.0863, -118.2157),10
(34.0863, -118.2318),5
(34.0863, -118.2477),3
(34.0863, -118.2611),9
(34.0863, -118.2806),22
(34.0863, -118.3005),107
(34.0863, -118.3016),9
(34.0863, -118.3019),163
(34.0863, -118.3039),17
(34.0863, -118.3051),137
(34.0863, -118.3064),111
(34.0863, -118.3222),94
(34.0863, -118.4596),4
(34.0863, -118.4698),1
(34.0864, -118.1676),7
(34.0864, -118.1726),6
(34.0864, -118.219),79
(34.0864, -118.2304),17
(34.0864, -118.3059),84
(34.0864, -118.3091),76
(34.0864, -118.4516),16
(34.0864, -118.4684),2
(34.0865, -118.1647),67
(34.0865, -118.1885),17
(34.0865, -118.2253),5
(34.0865, -118.2288),1
(34.0865, -118.2666),31
(34.0865, -118.2694),3
(34.0865, -118.2744),47
(34.0865, -118.2753),38
(34.0865, -118.3169),105
(34.0865, -118.3816),1
(34.0866, -118.1823),22
(34.0866, -118.1907),22
(34.0866, -118.1929),3
(34.0866, -118.2205),1
(34.0866, -118.2241),81
(34.0866, -118.2502),5
(34.0866, -118.2764),28
(34.0866, -118.4358),1
(34.0866, -118.4455),3
(34.0867, -118.1744),9
(34.0867, -118.1768),176
(34.0867, -118.2027),7
(34.0867, -118.2126),3
(34.0867, -118.2171),36
(34.0867, -118.2256),1
(34.0867, -118.2529),30
(34.0867, -118.2701),34
(34.0867, -118.2803),26
(34.0867, -118.2845),115
(34.0867, -118.2869),72
(34.0867, -118.2892),72
(34.0867, -118.2893),4
(34.0867, -118.2917),33
(34.0867, -118.3091),41
(34.0867, -118.3106),40
(34.0867, -118.312),2
(34.0867, -118.3135),10
(34.0867, -118.3244),2
(34.0867, -118.4386),14
(34.0867, -118.4598),1
(34.0868, -118.1737),37
(34.0868, -118.177),84
(34.0868, -118.2202),27
(34.0868, -118.2327),4
(34.0868, -118.248),1
(34.0868, -118.2623),4
(34.0868, -118.3078),7
(34.0868, -118.3753),1
(34.0868, -118.5034),2
(34.0869, -118.1655),3
(34.0869, -118.1666),13
(34.0869, -118.1842),16
(34.0869, -118.2219),15
(34.0869, -118.2236),50
(34.0869, -118.2258),7
(34.0869, -118.2508),3
(34.0869, -118.2534),20
(34.0869, -118.2598),18
(34.0869, -118.2676),32
(34.0869, -118.2706),9
(34.0869, -118.2787),27
(34.0869, -118.2801),1
(34.0869, -118.299),215
(34.087, -118.1973),6
(34.087, -118.2003),10
(34.087, -118.2199),10
(34.087, -118.2311),27
(34.087, -118.247),10
(34.087, -118.2483),25
(34.087, -118.3753),60
(34.087, -118.3764),2
(34.087, -118.3765),2
(34.087, -118.4288),4
(34.0871, -118.1799),22
(34.0871, -118.1907),3
(34.0871, -118.1929),30
(34.0871, -118.2089),17
(34.0871, -118.2142),46
(34.0871, -118.2576),74
(34.0871, -118.2681),20
(34.0871, -118.2684),9
(34.0871, -118.271),13
(34.0871, -118.3135),97
(34.0871, -118.3146),2
(34.0871, -118.3157),19
(34.0871, -118.3244),67
(34.0871, -118.3266),127
(34.0871, -118.3277),10
(34.0871, -118.3288),23
(34.0871, -118.3299),61
(34.0871, -118.331),115
(34.0871, -118.3321),56
(34.0871, -118.3332),15
(34.0871, -118.3337),1
(34.0871, -118.3342),3
(34.0871, -118.3352),5
(34.0871, -118.3363),84
(34.0871, -118.3374),6
(34.0871, -118.3386),26
(34.0871, -118.3397),10
(34.0871, -118.3406),7
(34.0871, -118.3416),13
(34.0871, -118.3428),19
(34.0871, -118.3441),60
(34.0871, -118.3451),2
(34.0871, -118.3462),90
(34.0871, -118.3474),6
(34.0871, -118.3487),71
(34.0871, -118.3498),6
(34.0871, -118.367),1
(34.0871, -118.368),9
(34.0871, -118.3703),4
(34.0871, -118.3732),25
(34.0871, -118.3742),56
(34.0871, -118.3765),27
(34.0871, -118.4566),4
(34.0871, -118.4637),7
(34.0871, -118.4746),9
(34.0872, -118.1604),1
(34.0872, -118.1634),13
(34.0872, -118.1649),7
(34.0872, -118.1696),25
(34.0872, -118.176),35
(34.0872, -118.1866),5
(34.0872, -118.1875),19
(34.0872, -118.1892),11
(34.0872, -118.1907),1
(34.0872, -118.2124),13
(34.0872, -118.2812),43
(34.0872, -118.2869),17
(34.0872, -118.2893),8
(34.0872, -118.2917),16
(34.0872, -118.3146),17
(34.0872, -118.3222),63
(34.0872, -118.3498),2
(34.0872, -118.3511),51
(34.0872, -118.3522),33
(34.0872, -118.3532),5
(34.0872, -118.3543),3
(34.0872, -118.3553),8
(34.0872, -118.3564),1
(34.0872, -118.3574),3
(34.0872, -118.3595),1
(34.0872, -118.3605),3
(34.0872, -118.3614),12
(34.0872, -118.3627),14
(34.0872, -118.3638),17
(34.0872, -118.3648),22
(34.0872, -118.3649),1
(34.0872, -118.3659),21
(34.0872, -118.367),1
(34.0872, -118.4337),2
(34.0872, -118.4421),1
(34.0873, -118.1676),2
(34.0873, -118.1688),6
(34.0873, -118.1716),22
(34.0873, -118.1817),33
(34.0873, -118.1841),5
(34.0873, -118.1978),3
(34.0873, -118.2335),11
(34.0873, -118.2543),21
(34.0873, -118.2715),5
(34.0873, -118.296),106
(34.0874, -118.1704),1
(34.0874, -118.2021),15
(34.0874, -118.2023),15
(34.0874, -118.2044),9
(34.0874, -118.2107),10
(34.0874, -118.2177),62
(34.0874, -118.2251),12
(34.0874, -118.2494),4
(34.0874, -118.2685),5
(34.0874, -118.2692),4
(34.0874, -118.2698),3
(34.0874, -118.3765),28
(34.0875, -118.1748),10
(34.0875, -118.2259),8
(34.0875, -118.2319),35
(34.0875, -118.2758),82
(34.0876, -118.1839),20
(34.0876, -118.1929),3
(34.0876, -118.1982),6
(34.0876, -118.2022),3
(34.0876, -118.2122),23
(34.0876, -118.221),4
(34.0876, -118.2227),4
(34.0876, -118.2228),1
(34.0876, -118.229),1
(34.0876, -118.2783),8
(34.0876, -118.3091),48
(34.0876, -118.3103),1
(34.0876, -118.3114),67
(34.0876, -118.3135),2
(34.0876, -118.4398),2
(34.0876, -118.464),1
(34.0877, -118.1605),3
(34.0877, -118.1749),35
(34.0877, -118.2462),1
(34.0877, -118.2502),30
(34.0877, -118.2554),1
(34.0877, -118.2845),112
(34.0877, -118.2869),148
(34.0877, -118.2893),109
(34.0877, -118.2917),66
(34.0877, -118.3054),1
(34.0877, -118.3332),11
(34.0877, -118.3348),7
(34.0877, -118.3363),7
(34.0878, -118.1716),89
(34.0878, -118.1991),6
(34.0878, -118.2151),50
(34.0878, -118.2344),6
(34.0878, -118.2442),9
(34.0878, -118.2625),5
(34.0878, -118.2645),6
(34.0878, -118.2822),44
(34.0878, -118.283),3
(34.0879, -118.1672),37
(34.0879, -118.1744),35
(34.0879, -118.2059),2
(34.0879, -118.2077),9
(34.0879, -118.2127),10
(34.0879, -118.2558),16
(34.0879, -118.2595),32
(34.0879, -118.304),50
(34.088, -118.1615),5
(34.088, -118.1737),16
(34.088, -118.1785),14
(34.088, -118.1851),17
(34.088, -118.1998),3
(34.088, -118.2036),8
(34.088, -118.2571),6
(34.088, -118.2644),7
(34.088, -118.2679),16
(34.088, -118.2718),2
(34.088, -118.2793),2
(34.088, -118.2845),1
(34.088, -118.296),35
(34.088, -118.297),22
(34.088, -118.2979),15
(34.088, -118.3222),98
(34.088, -118.3244),52
(34.088, -118.3266),8
(34.088, -118.4364),6
(34.0881, -118.1605),1
(34.0881, -118.1645),1
(34.0881, -118.1738),74
(34.0881, -118.1875),46
(34.0881, -118.1877),102
(34.0881, -118.1972),7
(34.0881, -118.2098),4
(34.0881, -118.212),25
(34.0881, -118.2326),12
(34.0881, -118.2672),1
(34.0881, -118.2719),5
(34.0881, -118.295),39
(34.0881, -118.3092),28
(34.0881, -118.4605),6
(34.0882, -118.1624),12
(34.0882, -118.1634),3
(34.0882, -118.1655),3
(34.0882, -118.1791),2
(34.0882, -118.2219),59
(34.0882, -118.2226),3
(34.0882, -118.2238),12
(34.0882, -118.225),7
(34.0882, -118.2513),26
(34.0882, -118.257),4
(34.0882, -118.2646),111
(34.0882, -118.2657),3
(34.0882, -118.2688),9
(34.0882, -118.2692),50
(34.0882, -118.2698),7
(34.0882, -118.2741),11
(34.0882, -118.4402),2
(34.0882, -118.4429),3
(34.0883, -118.1784),1
(34.0883, -118.1797),37
(34.0883, -118.1863),5
(34.0883, -118.1903),3
(34.0883, -118.2056),21
(34.0883, -118.2261),2
(34.0883, -118.2296),11
(34.0883, -118.2352),13
(34.0883, -118.2605),2
(34.0883, -118.2776),10
(34.0883, -118.2831),34
(34.0883, -118.4313),7
(34.0884, -118.2128),1
(34.0884, -118.22),1
(34.0884, -118.2258),283
(34.0884, -118.245),6
(34.0884, -118.2569),7
(34.0884, -118.2626),2
(34.0884, -118.2702),17
(34.0884, -118.2752),6
(34.0884, -118.2777),13
(34.0884, -118.2842),59
(34.0885, -118.2156),66
(34.0885, -118.2474),26
(34.0885, -118.2654),5
(34.0885, -118.2661),1
(34.0885, -118.2714),8
(34.0885, -118.2763),5
(34.0885, -118.2804),38
(34.0885, -118.3019),119
(34.0885, -118.3033),95
(34.0885, -118.304),6
(34.0885, -118.3056),18
(34.0885, -118.3064),170
(34.0885, -118.3065),7
(34.0885, -118.3078),126
(34.0885, -118.3092),225
(34.0885, -118.3114),61
(34.0885, -118.3135),30
(34.0885, -118.3136),4
(34.0885, -118.4409),2
(34.0885, -118.5034),2
(34.0886, -118.1682),60
(34.0886, -118.1728),29
(34.0886, -118.1782),36
(34.0886, -118.1876),15
(34.0886, -118.1974),8
(34.0886, -118.2028),2
(34.0886, -118.2029),1
(34.0886, -118.208),21
(34.0886, -118.23),4
(34.0886, -118.2477),1
(34.0886, -118.2523),12
(34.0886, -118.2666),11
(34.0886, -118.274),18
(34.0886, -118.2764),40
(34.0886, -118.2828),6
(34.0886, -118.2979),89
(34.0886, -118.2991),13
(34.0886, -118.3005),155
(34.0886, -118.3027),61
(34.0886, -118.4752),2
(34.0887, -118.167),49
(34.0887, -118.1721),41
(34.0887, -118.1725),39
(34.0887, -118.1785),110
(34.0887, -118.1809),51
(34.0887, -118.1876),7
(34.0887, -118.2195),14
(34.0887, -118.2333),18
(34.0887, -118.236),9
(34.0887, -118.2484),29
(34.0887, -118.2764),17
(34.0887, -118.2845),69
(34.0887, -118.2857),1
(34.0887, -118.2869),97
(34.0887, -118.2893),141
(34.0887, -118.2961),1
(34.0887, -118.3511),12
(34.0887, -118.3522),2
(34.0887, -118.4553),9
(34.0887, -118.4698),1
(34.0887, -118.4748),11
(34.0888, -118.1722),1
(34.0888, -118.2065),22
(34.0888, -118.2166),2
(34.0888, -118.2169),35
(34.0888, -118.2175),2
(34.0888, -118.2212),53
(34.0888, -118.2304),14
(34.0888, -118.2566),10
(34.0888, -118.2722),1
(34.0888, -118.2788),26
(34.0888, -118.2828),6
(34.0888, -118.2881),105
(34.0888, -118.2917),17
(34.0888, -118.3124),133
(34.0888, -118.3627),1
(34.0888, -118.363),1
(34.0888, -118.3638),24
(34.0888, -118.3649),2
(34.0888, -118.3659),5
(34.0888, -118.3662),1
(34.0888, -118.3732),11
(34.0888, -118.3742),21
(34.0888, -118.3753),14
(34.0888, -118.3764),3
(34.0888, -118.432),2
(34.0889, -118.1605),1
(34.0889, -118.1615),6
(34.0889, -118.1624),1
(34.0889, -118.2129),3
(34.0889, -118.2447),6
(34.0889, -118.25),20
(34.0889, -118.2593),13
(34.0889, -118.2594),4
(34.0889, -118.2627),12
(34.0889, -118.3223),80
(34.0889, -118.3244),84
(34.0889, -118.3266),82
(34.0889, -118.3277),91
(34.0889, -118.3288),35
(34.0889, -118.3299),105
(34.0889, -118.331),83
(34.0889, -118.3321),39
(34.0889, -118.3332),35
(34.0889, -118.3363),52
(34.0889, -118.3374),10
(34.0889, -118.3386),101
(34.0889, -118.3396),3
(34.0889, -118.3404),35
(34.0889, -118.3416),48
(34.0889, -118.3428),66
(34.0889, -118.3441),19
(34.0889, -118.3462),6
(34.0889, -118.3487),11
(34.0889, -118.3764),72
(34.0889, -118.4528),4
(34.0889, -118.4752),3
(34.0889, -118.5325),64
(34.089, -118.1718),39
(34.089, -118.182),30
(34.089, -118.1887),38
