null,0
(33.7261, -118.2946),48
(33.7261, -118.2968),23
(33.7261, -118.299),57
(33.7261, -118.3012),34
(33.7261, -118.3034),30
(33.7261, -118.3056),15
(33.7261, -118.3078),15
(33.7261, -118.3093),5
(33.7262, -118.2779),17
(33.7262, -118.2781),23
(33.7262, -118.3093),2
(33.7262, -118.3215),1
(33.7263, -118.3148),10
(33.7263, -118.3208),10
(33.7264, -118.3116),18
(33.7264, -118.3117),1
(33.7265, -118.3169),5
(33.7265, -118.3205),10
(33.7266, -118.2735),1
(33.7266, -118.2739),20
(33.7266, -118.2764),1
(33.7266, -118.318),4
(33.7267, -118.2784),5
(33.7267, -118.3127),3
(33.7267, -118.3146),2
(33.7268, -118.274),4
(33.7269, -118.268),1
(33.727, -118.2748),9
(33.727, -118.2841),31
(33.727, -118.2858),66
(33.727, -118.288),126
(33.727, -118.2902),68
(33.727, -118.2924),73
(33.727, -118.2946),51
(33.727, -118.2968),49
(33.727, -118.299),36
(33.727, -118.3012),11
(33.727, -118.3034),24
(33.727, -118.3037),1
(33.727, -118.3056),18
(33.727, -118.3078),18
(33.727, -118.3136),5
(33.727, -118.3242),70
(33.7271, -118.3097),9
(33.7271, -118.3113),9
(33.7271, -118.3164),8
(33.7272, -118.2742),1
(33.7272, -118.3173),3
(33.7272, -118.3201),10
(33.7273, -118.2787),1
(33.7274, -118.2688),1
(33.7274, -118.2836),1
(33.7274, -118.3118),15
(33.7274, -118.3183),4
(33.7275, -118.3105),3
(33.7276, -118.2408),1
(33.7276, -118.3122),6
(33.7277, -118.2902),1
(33.7277, -118.3152),1
(33.7278, -118.3143),10
(33.7279, -118.2829),5
(33.7279, -118.2836),36
(33.7279, -118.2858),36
(33.7279, -118.288),103
(33.7279, -118.2902),79
(33.7279, -118.2924),75
(33.7279, -118.2946),66
(33.7279, -118.2968),55
(33.7279, -118.299),92
(33.7279, -118.3012),16
(33.7279, -118.3034),21
(33.7279, -118.3056),14
(33.7279, -118.3116),1
(33.7279, -118.3167),8
(33.7279, -118.3243),4
(33.728, -118.3078),8
(33.728, -118.3097),1
(33.728, -118.3117),24
(33.728, -118.3201),8
(33.7282, -118.3104),2
(33.7282, -118.3109),1
(33.7283, -118.3111),4
(33.7283, -118.3112),1
(33.7283, -118.3177),2
(33.7284, -118.2685),4
(33.7284, -118.3101),5
(33.7284, -118.3131),5
(33.7285, -118.3161),8
(33.7285, -118.3237),5
(33.7286, -118.2924),2
(33.7286, -118.311),5
(33.7287, -118.2814),28
(33.7287, -118.3192),2
(33.7288, -118.2813),1
(33.7288, -118.2814),1
(33.7288, -118.2819),1
(33.7288, -118.2836),54
(33.7288, -118.2858),62
(33.7288, -118.288),139
(33.7288, -118.2902),59
(33.7288, -118.2924),134
(33.7288, -118.2946),64
(33.7288, -118.2968),60
(33.7288, -118.299),38
(33.7288, -118.3012),22
(33.7288, -118.3034),19
(33.7288, -118.312),1
(33.7289, -118.2846),112
(33.7289, -118.3056),19
(33.7289, -118.3078),14
(33.7289, -118.3097),2
(33.7289, -118.3144),7
(33.729, -118.3189),1
(33.729, -118.3204),11
(33.7291, -118.2383),26
(33.7291, -118.3098),5
(33.7292, -118.3237),1
(33.7293, -118.3145),23
(33.7293, -118.3162),2
(33.7293, -118.317),6
(33.7293, -118.3217),3
(33.7293, -118.3243),6
(33.7294, -118.2798),1
(33.7294, -118.3185),48
